review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
R4PKAZRQJJX14,1,21,34,N,N
R2CI0Y288CC7E2,1,21,35,N,Y
R127WEQY2FM1T3,1,147,175,N,Y
R2FJ94555FZH32,2,55,60,N,N
R1U3AR67RE273L,1,51,65,N,Y
R3PZOXA5X1U8KW,4,31,36,N,N
R6KTC1OPIOIIG,2,19,34,N,Y
R36O341WWXXKNP,5,28,31,N,N
R10LZVBLQHBVJ0,2,151,198,N,N
R1VR5GLGY1GE7N,1,49,51,N,Y
R2OWDAR0EDEPTF,1,23,28,N,N
R29BOS5HMAY1LO,5,88,110,N,N
R8WD0136CETA7,2,99,119,N,N
RNEMGSUKJ4535,2,21,25,N,Y
R16621F16PQN5A,3,24,31,N,Y
R1LXBPG1M9DDOC,1,102,106,N,N
R3R2UKBFKP1IQ4,1,19,23,N,Y
R1AEABJFBSYSZC,2,44,53,N,Y
R2MIOC0EABH1ZM,1,32,33,N,Y
R4HTDKN4IZD7J,1,150,172,N,N
R1EFQCU4O6THP3,1,44,55,N,Y
R2T90XM5G2DBZA,3,15,22,N,Y
R5ZMK0Y0KRBRZ,1,79,91,N,N
R12E2W0XOV3I2S,1,24,30,N,Y
RDX2ZZ46AM343,5,32,34,N,Y
RIDXF6ZAXQWU7,2,49,61,N,N
R3QEHRKPDDDJ3F,4,79,82,N,N
R29OV327V7YZGV,4,243,256,N,N
R22WO89JM9T6QO,2,26,33,N,Y
R3GREULK952OO8,2,23,29,N,N
R2FAARI3JQO9XQ,5,29,30,N,Y
R1PC3V3F59Y14F,1,18,22,N,Y
RQQZEFETCL1F4,1,45,54,N,N
R2WS53BH47WUMT,5,68,84,N,N
R2BBH73BUJYBGK,5,18,22,N,N
R2SEY6BJG2PNI7,3,25,40,N,N
R2PL5Z22NOXOGC,3,16,22,N,N
R2NRGYM7XY4LMP,1,42,48,N,Y
R35D23GJN1QGR7,3,39,47,N,N
R3M42FPE0VJA0U,5,20,22,N,Y
R18ZBSSAMJOV8I,5,450,471,N,N
R3UBBDXHI6QFV1,1,30,36,N,N
RJVKA2B426097,3,24,31,N,Y
RCK4WXLGD3HDY,5,72,81,N,Y
R3JEZ1ILQLIWWU,1,45,45,N,Y
R3SPYZXDYYNHS6,1,45,56,N,Y
R3MNCTI3FCVX9O,2,80,98,N,Y
RDU0H4FXCK7N6,5,36,47,N,N
R1I1EFIKJEUYPW,5,14,23,N,N
R36WZ5NSI0L15K,1,48,58,N,N
R2BV3KQSTCD1X4,1,33,43,N,N
R2OQWDMRNRQWPK,4,60,83,N,N
R36BPLEJ7NEIGU,5,16,22,N,N
R2WPAHM90BCWUN,5,210,227,N,Y
R3QLOXDGBIMZZY,1,46,59,N,N
R1PQRBN3KVF0BI,2,24,45,N,N
R2CUQ7BSCBOXVB,5,24,25,N,Y
R1Q0A0OBLP6XBF,5,40,49,N,N
R3A0OAIPIIXZS3,5,70,79,N,N
R1KM8H2IP5U32V,5,21,27,N,N
RBLN6QHUYWTSZ,2,66,78,N,N
R34F1FXWG6V3UV,5,29,34,N,N
R28VQTB2GEP8VO,1,56,60,N,Y
R1576MJPKDKG41,4,23,33,N,N
R19KWX7FZX6WS3,1,45,48,N,Y
R3H5ESWACX0M2C,5,71,81,N,N
R1GHT3S4J5LMGY,5,33,42,N,N
RWY0S0RRNEEFU,1,15,21,N,N
R19WHNBIC59H1N,3,15,26,N,N
R3NIMOJ8Z8ANLQ,1,27,33,N,N
R3GZ28U5DYUO0M,1,17,21,N,Y
RCOXLQ7GHA3N1,1,29,37,N,Y
R16HSKRHIFCQX7,1,20,23,N,N
R1JZC613ALARJC,5,56,63,N,N
RAN8NO9FFAJ4Z,1,15,22,N,Y
RZ96PWGUW68WP,5,33,37,N,Y
R19UV6IV5IK6QY,4,96,107,N,Y
R2D9JXEG5RXLZC,1,17,22,N,Y
R2NW91TWCD6MFY,1,21,26,N,Y
R2HZNZFT0C7U6U,4,23,23,N,Y
R2EWX8RI2AUIUB,2,36,46,N,Y
R210TCF7BT4UM9,5,66,90,N,N
R3RY2C3PZMO9S9,5,23,23,N,Y
R23PVY4LEQRZDY,5,33,37,N,Y
R2HFD721HBPKNB,1,21,22,N,Y
RWL8NELB9YVUK,1,12,21,N,N
R777N69D8NEVR,4,19,21,N,Y
R1NU6BHCJKR2SW,5,18,24,N,N
R1W1VOR3QCW24H,1,17,22,N,Y
R2TAM0DN0XV061,1,24,41,N,N
R3HW9WV88OG8I9,5,27,29,N,Y
R13NAL0PTL4Y3U,5,32,33,N,Y
R3HJO2NJSPAKWL,5,33,36,N,Y
RS2K3E7K8RWN6,5,21,25,N,Y
R2DU3G0X5LYNZ1,1,76,90,N,Y
RE66FBRHSGJZN,1,18,21,N,Y
R2EQQMVUB1NX9T,5,69,78,N,N
RAJO1V8TIVGNX,5,33,38,N,N
R34LFY2SBDGR6A,1,24,26,N,Y
R2KNU3C7ZEJHTQ,4,22,25,N,Y
R2O04IJGGEZCLC,4,38,39,N,Y
R1KEV532QY147F,5,18,27,N,Y
R2II27GJ90LU2Z,4,39,40,N,Y
R1AVEV7QESP6JY,1,44,47,N,Y
R2HY3ME2WDP011,1,68,74,N,Y
R3I2R90HEYY82O,5,38,41,N,Y
RC04OND0PNKCI,5,24,32,N,Y
R1PDUH0JA7BS13,5,68,68,N,Y
R3VS0RVCPQF89L,1,18,29,N,Y
R1ED2KVCUOWKAJ,1,29,29,N,Y
R13IRJ5CCFXTWR,2,23,29,N,Y
R2LWDI8E6M2UL8,1,117,154,N,Y
R2IDIQA458S5BL,1,29,30,N,Y
R1CPH3DPXGIXWQ,1,28,42,N,N
R1FXBZS4NS5VTX,5,20,21,N,Y
R32RSP3NHZ8EY1,1,25,33,N,N
R3ST08458QXF3R,1,36,36,N,N
R6Q4V964BF270,1,21,32,N,Y
R3GS3P0LQ9N52R,5,23,23,N,N
R2UN1YYG9TDYUK,1,74,93,N,Y
R30B5IVYB0WVAM,1,32,36,N,Y
R1N14ATQ7TDOCB,1,14,27,N,Y
R33T8RGI32OD16,5,43,43,N,Y
R369VEC1JEAAEB,4,73,74,N,Y
R2XQXS3MNZ67BR,1,15,23,N,Y
R8WQECSOUFJ54,1,24,25,N,Y
R5SHBAHUPBQB0,4,16,21,N,N
R3HWWUVSH374PI,5,107,118,N,Y
R11WWRDEG42HHE,1,45,54,N,Y
R21KMIH4GMP1Q4,2,16,25,N,Y
R1QK7FP8CMY6XR,5,32,34,N,Y
R2FRWUGZXRDWOU,5,70,82,N,Y
R3IU5BHONVSXLH,1,42,50,N,Y
R2JOHNCGC3ZZSZ,5,25,29,N,Y
R16G4PHEKAQCYO,5,42,42,N,Y
R33I5YLZGKOFDY,1,19,27,N,N
R2EYETTO1SZH2N,5,53,56,N,Y
R117N7WO2Z41BW,4,22,28,N,N
RUYOTG40UU4DQ,4,21,24,N,N
R1KA5MQZCAPZFK,1,19,27,N,Y
R33C6VL26K22F0,1,82,91,N,Y
R2PZA21R2MH1LR,5,108,120,N,Y
RMW61BHKNVJME,4,42,43,N,Y
R1B71LTER0UAWT,5,69,69,N,Y
R1TMGLOOCCEUKZ,5,20,24,N,Y
R2RWPTHMMV24GK,2,20,21,N,Y
R3QNVRKNLZEL60,2,20,21,N,Y
R1H7F21NMG8ND8,5,29,33,N,Y
RWTIC8BE6SH19,5,38,41,N,N
RX3X69L84VA3Q,5,16,21,N,Y
RWUSR8JV8MBE4,1,15,23,N,N
R3C4UTFSFXLE45,5,109,123,N,Y
R9MH9SCGDRCTX,5,32,32,N,N
R111QVMRRXZMI8,3,27,32,N,N
R2T35TKO9V9QNZ,3,21,22,N,Y
R29IFRALO31U41,4,25,27,N,N
R18IBPW8CCON9Q,5,34,34,N,Y
R14KTQUTB3QZ2K,4,21,24,N,N
RF3VO5DR5OJ4W,1,17,22,N,Y
R2SC5P4SK0V3VL,1,20,24,N,N
R3BAVHUG50DC31,5,20,22,N,Y
RUHNI9A98GIYT,1,89,120,N,Y
R1RGBXGRJL84GI,5,45,50,N,Y
RU4MT43D4XJ06,1,19,21,N,Y
R2EANE5IRM0A6Y,5,100,103,N,Y
R1RM9GGC9NEEQZ,5,20,21,N,Y
RRVQUI6PWA402,4,41,46,N,N
R23KN9SYCCLDZQ,4,37,42,N,Y
RP13PM19Y0TCW,2,31,31,N,Y
R2GEXAYOFSDJB6,5,19,23,N,N
R36911DMWIP1TL,1,12,22,N,Y
R1YCVSY2T31EO6,1,86,101,N,Y
RYKUBKJ3PKH90,1,30,30,N,Y
RJHJOQCG4210M,1,24,27,N,Y
RVT5005ZDBMKC,1,42,50,N,Y
R1VQFWOAOSGDYX,5,29,33,N,N
R1OBABUP8IJXWO,5,19,23,N,N
R29VMUGW05DI8F,5,142,185,N,N
R3PCR9NSWULAET,5,14,24,N,N
R7GXERPW23GYF,5,13,22,N,N
R15K2TFZS5WZ1E,5,148,193,N,N
R9JNH78ZRUD9R,5,44,53,N,N
R2OYJMSDUPYU7O,5,24,38,N,N
R23I34SQ4TW1F2,5,112,148,N,N
R4Q83NZGW79NO,1,50,59,N,Y
R3UQFY9D787MBF,5,15,25,N,N
R3PCZZC2WI7DIS,5,31,37,N,N
R33IUY7AZ72YXI,5,23,27,N,Y
RYWFPV0UJOFJJ,5,28,32,N,N
RUGQ31TDGPBSO,5,20,21,N,Y
R2SSU7RT61AYK2,4,87,98,N,Y
RCX7J1T044ZM8,4,60,66,N,Y
R3NK7I27QWCKXX,5,42,48,N,Y
R3HRK1BI3FGQRL,1,37,42,N,N
R3ALRJCRM3B3KQ,5,23,26,N,Y
R2PX8D42FMB3JB,1,20,22,N,Y
R1F27ICUO2SHCD,1,53,66,N,N
RO1PV29P9TRQM,1,23,31,N,Y
R1YI3NPB83T6TK,5,21,21,N,Y
R18Q2VPG20CJON,1,41,46,N,N
R1BJ5BMRY7I6RK,1,56,61,N,Y
R1YEFINKPVK7RL,4,16,22,N,N
