review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
R3KKUSGFZWSUIY,5,56,63,Y,N
R10FO5UKKVZBK2,3,23,23,Y,N
RM4KSGEOR7MU1,5,19,24,Y,N
RG7VRMYLEXD23,4,22,26,Y,N
R11O4YSCPSNL6L,3,20,26,Y,N
R286MFBAJ8NPD6,5,46,51,Y,N
RQ5WD90PUNBU9,5,21,24,Y,N
R1JRR530H4COA2,5,22,28,Y,N
R12648VHCQWUV9,4,21,28,Y,N
R1OWK33OPI45KT,5,55,58,Y,N
R2UP7VTED8O425,5,35,41,Y,N
R3EPHK0JGQGE91,5,21,28,Y,N
RCP3KRO47S0GG,4,51,58,Y,N
RY0555ILXIYXW,5,38,50,Y,N
R24PS9N276OXF4,5,241,262,Y,N
R3JT907UUA1WUI,4,85,103,Y,N
ROXZOMHBY8Y9S,4,21,23,Y,N
R1L8N6VFY5KDSU,5,23,26,Y,N
R3T4LTJ189G0LT,4,37,45,Y,N
R4LQC6M9AVXAY,5,69,75,Y,N
R1CUA6APLIFSG9,5,39,49,Y,N
R369DSVA6AH6SB,5,16,21,Y,N
RIUKST053BR2K,5,25,26,Y,N
R1IN4WPVLZB86G,5,34,37,Y,N
RV8FVXVWTEAX,4,97,107,Y,N
R3CMWDEYCJM2O9,1,24,31,Y,N
R10P2XVXA9DYTO,5,21,25,Y,N
RW25NTS59UG55,4,39,43,Y,N
RKKMH184GEHKD,5,19,23,Y,N
R1W1YY3QZDVKK3,2,26,36,Y,N
RNRUIQVK27RDZ,3,17,25,Y,N
REQZP78LTC0EY,4,21,23,Y,N
R2GYO7WKCP4TOM,3,18,25,Y,N
R324LVYMIC7XRG,5,26,35,Y,N
R2XT37DDSZ8ROK,3,28,53,Y,N
R2UB214GH2M6LV,5,321,340,Y,N
R1A7M6ADCYEE81,5,71,86,Y,N
R2TYARK2PB70B4,3,31,40,Y,N
R1PU7JY8XL5M1N,5,19,24,Y,N
R1QEQVDF9S7BDX,2,32,35,Y,N
R28UP3IBHIAL2D,5,58,62,Y,N
R3G8TJFS85W1F3,4,47,54,Y,N
R3NGUZ07DTUUSY,3,53,62,Y,N
R3UWL59Y9GD0T4,4,111,126,Y,N
R23WY68NT94WKE,5,125,143,Y,N
RAJUF4C24770F,3,89,110,Y,N
R1X29HLKI4XO6C,4,331,357,Y,N
RCT9S84KQ90SH,5,34,45,Y,N
R32E08LN5RWBFO,5,66,88,Y,N
R13Z4M71WMGPPQ,3,26,30,Y,N
R15ARADYJE29FK,3,33,36,Y,N
R2F4496USMWM4P,3,34,37,Y,N
RF41VQVEOQ4DV,5,17,22,Y,N
R34V427QP1YKW6,4,68,73,Y,N
RYBLWBAL5M1AY,4,68,76,Y,N
R1TNOMT3O5DZ0Z,4,27,32,Y,N
R1UBDJF7PWB8BL,2,43,59,Y,N
R18ZPXBNV1SMSH,4,84,102,Y,N
RKG407AVAZXBQ,3,22,25,Y,N
R3SJ9VQH252UZH,4,23,29,Y,N
R29NYQS1ZI0S9M,2,38,45,Y,N
R61QRS16PUHET,5,38,41,Y,N
R147GE7N7DBNSK,5,55,60,Y,N
RKP2RJF5YKXJ3,4,259,279,Y,N
R21XZ4106KY38X,3,45,58,Y,N
R2EEE0PNGZ3PJQ,5,29,35,Y,N
R1FE1OLQ4T3T1Q,4,179,182,Y,N
R20J4UHHFEARY9,5,48,59,Y,N
R2X88G5QRKPDH7,5,121,124,Y,N
R2JJLTBVU6R54W,5,16,23,Y,N
R26T1V8WQC1Y04,5,57,61,Y,N
R14BNKJCUQWDUC,3,23,30,Y,N
R1O83O7BRYQ7KN,5,29,31,Y,N
R3QJ1YLOZNKQ4L,5,19,22,Y,N
RCOQQGUKAE6L1,5,29,29,Y,N
R2PAI2NBY6COGX,5,66,69,Y,N
R2OWPC3GFA3377,5,30,34,Y,N
R1F6Q0N6CMCL9P,4,66,71,Y,N
R1AUN45E8F5CJ0,5,30,33,Y,N
REAX2MY43TDPR,2,19,23,Y,N
R1QTD3QXCKGOG0,5,34,34,Y,N
R23IZKYWY8KS3G,5,46,47,Y,N
R2VKXE5N2C894W,4,35,37,Y,N
R7CIUV543EN2I,4,19,23,Y,N
RHMTNQIETRCP3,3,37,39,Y,N
RLPTVGLU0JQIP,3,42,45,Y,N
R3ASJ9SENYYYI0,5,40,46,Y,N
RNU8PK609WT6P,4,347,362,Y,N
R8YT75NJW0CM9,4,37,40,Y,N
R2EDL85YVF0PRA,5,23,32,Y,N
